s,p,d
8,64,1641
2,40,1350
8,29,1239
1,38,609
9,47,1914
2,13,187
9,6,1632
3,87,605
6,7,1568
4,40,795
7,79,966
1,83,2068
1,88,1291
7,68,1461
7,29,1103
8,37,433
3,54,1894
9,82,956
7,50,151
5,64,1321
1,87,1440
10,23,2013
7,48,874
4,31,1422
1,75,733
6,53,1070
5,62,726
3,27,742
9,89,1204
10,49,1642
3,44,1432
4,78,942
4,39,236
8,35,1456
5,55,1077
1,8,692
8,32,2002
9,56,169
10,16,288
7,17,1930
3,98,1690
4,86,578
6,79,1378
3,18,1060
1,33,1141
9,76,1369
1,59,1562
4,99,1249
9,83,1903
1,33,191
2,77,296
1,30,451
2,77,218
3,48,1919
1,64,599
4,93,1108
9,84,1894
6,52,1071
8,81,1679
7,71,1465
8,10,691
8,11,954
10,95,1851
10,55,1890
7,39,382
2,64,1545
3,86,1716
5,2,1804
6,9,37
3,90,1592
8,84,1642
2,24,1068
1,22,1027
4,19,1372
3,53,227
